"Les chasseurs boivent à mon avis... pour oublier qu'ils chassent"	https://audio.audiomeans.fr/file/nvPVUluDrr/6d2bfc2b-0c33-4019-ad24-f324ceac2564.mp3?_=1733729880	3.31 MB	03:36	Ecoutez Le 2ème œil de Philippe Caverivière du 09 décembre 2024.	
"Emmanuel Macron, les seuls trucs qu'il réussit c'est les cérémonies"	https://audio.audiomeans.fr/file/nvPVUluDrr/624d3abc-6f0e-4cbb-accb-fb6747e3a9a9.mp3?_=1733728081	5.22 MB	05:42	Ecoutez L'oeil de Philippe Caverivière du 09 décembre 2024.	
ARCHIVE - La première chronique de Philippe Caverivière sur RTL	https://audio.audiomeans.fr/file/nvPVUluDrr/411e48fc-4460-4a70-aaed-728474ce92ea.mp3?_=1733318881	3.8 MB	04:09	Chaque dimanche, découvrez une archive de Philippe Caverivière. Arrivé à RTL Soir en 2019, l'humoriste a fait sa première chronique au micro de Thomas Sotto le 28 août 2019. 	
BEST OF - Notre Dame, Abbé Pierre, reconversion... Caverivière face aux spécialistes de la religion	https://audio.audiomeans.fr/file/nvPVUluDrr/1491467c-9e39-443d-b139-6649209ee4b6.mp3?_=1733396581	7.71 MB	08:25	Chaque samedi, découvrez une compilation thématisée des meilleurs chroniques de Philippe Caverivière ! Dans ce best of, l'humoriste fait face au Père Matthieu, prêtre catholique et vidéaste français, Philippe Jost, président chargé de la conservation et de la restauration de la cathédrale Notre-Dame de Paris ou encore Richard Malka, connu notamment pour être l'avocat de l'hebdomadaire satirique "Charlie Hebdo". 	
NOËL - 6. Philippe Caverivière, Yves Calvi et Jérôme Florin lisent "Le paysan et le diable"	https://audio.audiomeans.fr/file/nvPVUluDrr/af098b98-feaa-45fb-a240-6c4a9a7261cf.mp3?_=1733477466	2.84 MB	03:06	LIS-MOI UNE HISTOIRE... DE NOËL - Pour patienter jusqu'au 24 décembre, les grandes voix de RTL offrent chaque jour un conte merveilleux. Découvrez aujourd'hui une histoire pleine de malice et de diablerie. "Le paysan et le diable" est un conte des frères Grimm lu par Philippe Caverivière, Yves Calvi et Jérôme Florin.
"Lis-moi une histoire" est un podcast présenté par Laurent Marsick. Chaque épisode, vous propose une histoire passionnante, fascinante, instructive.	
"Teddy Riner, s'il faut le vanner, autant qu'il soit loin !"	https://audio.audiomeans.fr/file/nvPVUluDrr/8ec07150-9653-409f-ad48-4ddd4ae5fbf2.mp3?_=1733470680	3.07 MB	03:21	Ecoutez Le 2ème œil de Philippe Caverivière du 06 décembre 2024.	
Philippe Caverivière traduit ce qu'a vraiment dit Emmanuel Macron lors de son allocution	https://audio.audiomeans.fr/file/nvPVUluDrr/c43b469f-c7e8-47bf-b2bb-509c240a9ca6.mp3?_=1733468881	4.41 MB	04:49	Ecoutez L'oeil de Philippe Caverivière du 06 décembre 2024.	
"Sébastien Lecornu est dans les petits papiers pour Matignon, c'est vrai qu'il nous faut un militaire à ce poste"	https://audio.audiomeans.fr/file/nvPVUluDrr/864ace2c-c861-4cbb-a9cd-1596b33a5506.mp3?_=1733384581	3.36 MB	03:40	Ecoutez Le 2ème œil de Philippe Caverivière du 05 décembre 2024.	
"Emmanuel Macron va parler à 20 heures, on sait qu'il va nous engueuler"	https://audio.audiomeans.fr/file/nvPVUluDrr/2c2cb36f-ec20-4011-90f5-61637717262d.mp3?_=1733382481	4.47 MB	04:53	Ecoutez L'oeil de Philippe Caverivière du 05 décembre 2024.	
"Michel Barnier c'est un hypnotiseur mais qui ne te fait rien"	https://audio.audiomeans.fr/file/nvPVUluDrr/17f22e79-be55-49cc-8327-4c79bf4e5aa1.mp3?_=1733297880	3.67 MB	04:00	Ecoutez Le 2ème œil de Philippe Caverivière du 04 décembre 2024.	
"Macron veut un nouveau premier ministre sous son sapin... mais il a loupé le black Friday"	https://audio.audiomeans.fr/file/nvPVUluDrr/dd42415a-fe4c-45a8-95e2-8fc939a73df2.mp3?_=1733296081	4.59 MB	05:01	Ecoutez L'oeil de Philippe Caverivière du 04 décembre 2024.	
"Dominique Farrugia c'est le talent, les grandes causes, et une passion pour les 4 roues"	https://audio.audiomeans.fr/file/nvPVUluDrr/f2212784-75df-4070-9855-903c817ac7f8.mp3?_=1733211481	3.19 MB	03:29	Ecoutez Le 2ème œil de Philippe Caverivière du 03 décembre 2024.	
